100,0.188,27.9,148.4042553,4.197506212
500,0.188,27.9,148.4042553,4.197506212
1000,0.188,27.7,147.3404255,4.167416561
2000,0.188,27,143.6170213,4.062102786
3000,0.188,25.5,135.6382979,3.836430409
4000,0.192,23.9,124.4791667,3.520802515
5000,0.192,22.5,117.1875,3.314563037
6000,0.192,20.7,107.8125,3.049397994
7000,0.195,18.8,96.41025641,2.726893843
8000,0.195,17.7,90.76923077,2.567341544
9000,0.197,16.2,82.23350254,2.325914691
10000,0.197,15.1,76.64974619,2.167982212
11000,0.197,14.1,71.57360406,2.024407231
12000,0.197,13.1,66.49746193,1.88083225
13000,0.197,12.3,62.43654822,1.765972266
14000,0.197,11.5,58.37563452,1.651112281
15000,0.197,10.8,54.82233503,1.550609794
16000,0.197,10.2,51.77664975,1.464464806
17000,0.197,9.64,48.93401015,1.384062816
18000,0.197,9.24,46.9035533,1.326632824
19000,0.197,8.68,44.06091371,1.246230835
20000,0.197,8.36,42.43654822,1.200286841
21000,0.197,8,40.60913706,1.148599848
22000,0.197,7.6,38.5786802,1.091169855
23000,0.197,7.32,37.15736041,1.050968861
24000,0.197,7,35.53299492,1.005024867
25000,0.197,6.76,34.31472081,0.970566871
26000,0.197,6.48,32.89340102,0.930365877
27000,0.197,6.24,31.6751269,0.895907881
28000,0.197,6.06,30.76142132,0.870064385
29000,0.197,5.84,29.64467005,0.838477889
30000,0.197,5.64,28.62944162,0.809762893
31000,0.197,5.44,27.6142132,0.781047896
32000,0.197,5.38,27.30964467,0.772433398
33000,0.197,5.16,26.1928934,0.740846902
34000,0.197,5.04,25.58375635,0.723617904
35000,0.197,4.84,24.56852792,0.694902908
36000,0.197,4.72,23.95939086,0.67767391
37000,0.197,4.6,23.35025381,0.660444912
38000,0.197,4.48,22.74111675,0.643215915
39000,0.197,4.34,22.03045685,0.623115417
40000,0.197,4.24,21.52284264,0.608757919
42000,0.197,4.08,20.7106599,0.585785922
44000,0.197,3.92,19.89847716,0.562813925
46000,0.197,3.74,18.98477157,0.536970429
48000,0.197,3.56,18.07106599,0.511126932
50000,0.197,3.4,17.25888325,0.488154935
52000,0.197,3.32,16.85279188,0.476668937
54000,0.197,3.17,16.09137056,0.45513269
56000,0.197,3.05,15.4822335,0.437903692
58000,0.197,2.95,14.97461929,0.423546194
60000,0.197,2.85,14.46700508,0.409188696
65000,0.197,2.65,13.45177665,0.3804737
70000,0.197,2.45,12.43654822,0.351758703
75000,0.197,2.29,11.62436548,0.328786706
80000,0.197,2.15,10.91370558,0.308686209
85000,0.197,2.06,10.45685279,0.295764461
90000,0.197,1.89,9.593908629,0.271356714
95000,0.197,1.81,9.187817259,0.259870716
100000,0.197,1.73,8.781725888,0.248384717
